価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
950万円",高知県高知市若松町,86.15平方メートル / 26.06坪,http://local.google.co.jp/maps?q=高知県高知市若松町,,一方 ( 北 ),市街化区域,宅地,工業地域,-,所有権,不要,"古家あり 

",相談,3220284-0000497,仲介,https://www.homes.co.jp/tochi/b-32202840000497/,株式会社葉山不動産,高知県高知市城山町201-1,1,画像あり
"
850万円",高知県高知市横内,355.39平方メートル / 107.5坪,http://local.google.co.jp/maps?q=高知県高知市横内,,接道なし,市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0141920-0000644,仲介,https://www.homes.co.jp/tochi/b-1419200000644/,ハウスドゥ　高知西　株式会社猪野晃三朗塗装店,高知県高知市朝倉横町20-35,1,画像あり
"
700万円",高知県高知市薊野西町3丁目,106.54平方メートル (公簿) / 32.22坪,http://local.google.co.jp/maps?q=高知県高知市薊野西町3丁目,,一方 ( 北 ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0129446-0001034,仲介,https://www.homes.co.jp/tochi/b-1294460001034/,ハウスドゥ　高知葛島　株式会社猪野晃三朗塗装店,高知県高知市葛島１丁目10-75　高知ファミリープラザ,1,画像あり
"
760.2万円",高知県高知市福井東町,71.83平方メートル / 21.72坪,http://local.google.co.jp/maps?q=高知県高知市福井東町,,接道なし,市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0146050-0000214,仲介,https://www.homes.co.jp/tochi/b-1460500000214/,ハウスドゥ　高知駅前　株式会社give,高知県高知市北本町３丁目4-9,1,画像あり
"
1,000万円",高知県高知市城山町,353.71平方メートル / 106.99坪,http://local.google.co.jp/maps?q=高知県高知市城山町,,-,市街化区域,宅地,準工業地域,高台,所有権,不要,"古家あり 

",相談,3220284-0000005,仲介,https://www.homes.co.jp/tochi/b-32202840000005/,株式会社葉山不動産,高知県高知市城山町201-1,1,画像あり
"
870.84万円",高知県高知市朝倉己,156.94平方メートル (公簿) / 47.47坪,http://local.google.co.jp/maps?q=高知県高知市朝倉己,,二方 ( 東 ) ( 北 ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",即時,0141920-0000669,仲介,https://www.homes.co.jp/tochi/b-1419200000669/,ハウスドゥ　高知西　株式会社猪野晃三朗塗装店,高知県高知市朝倉横町20-35,1,画像あり
"
750万円",高知県高知市福井町,138.5平方メートル (公簿) / 41.89坪,http://local.google.co.jp/maps?q=高知県高知市福井町,,一方 ( 南 4.9m 間口10m ),市街化区域,原野,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0146050-0000406,仲介,https://www.homes.co.jp/tochi/b-1460500000406/,ハウスドゥ　高知駅前　株式会社give,高知県高知市北本町３丁目4-9,1,画像あり
"
468.49万円",高知県高知市春野町甲殿,281.61平方メートル / 85.18坪,http://local.google.co.jp/maps?q=高知県高知市春野町甲殿,,( 南 ) ( 東 ),市街化調整区域,宅地,-,-,所有権,不要,"古家あり 

",相談,3220329-0000027,専任媒介,https://www.homes.co.jp/tochi/b-32203290000027/,有限会社東邦ハウジング,高知県高知市小津町4-35 メゾン東邦2F,1,画像あり
"
980万円",高知県高知市新屋敷2丁目,95.36平方メートル / 28.84坪,http://local.google.co.jp/maps?q=高知県高知市新屋敷2丁目,,一方 ( 北 3.8m 公道 間口7.3m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",即時,3220284-0000901,仲介,https://www.homes.co.jp/tochi/b-32202840000901/,株式会社葉山不動産,高知県高知市城山町201-1,1,画像あり
"
880万円",高知県高知市朝倉己,256.83平方メートル (公簿) / 77.69坪,http://local.google.co.jp/maps?q=高知県高知市朝倉己,,接道なし,市街化区域,雑種地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0141920-0000705,専任媒介,https://www.homes.co.jp/tochi/b-1419200000705/,ハウスドゥ　高知西　株式会社猪野晃三朗塗装店,高知県高知市朝倉横町20-35,1,画像あり
"
430万円",高知県高知市一宮東町4丁目,79.48平方メートル / 24.04坪,http://local.google.co.jp/maps?q=高知県高知市一宮東町4丁目,,-,市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,3220281-0000425,仲介,https://www.homes.co.jp/tochi/b-32202810000425/,中央開発株式会社,高知県高知市鷹匠町２丁目2-28,1,画像あり
"
320万円",高知県土佐市高岡町乙,85.61平方メートル / 25.89坪,http://local.google.co.jp/maps?q=高知県土佐市高岡町乙,,角地 ( 東 4m 公道 間口9m ) ( 北 2m 公道 間口14m ),非線引区域,宅地,-,-,所有権,不要,"古家あり更地引渡可 

",相談,3220349-0000011,一般媒介,https://www.homes.co.jp/tochi/b-32203490000011/,和建設株式会社　わっとプラザ,高知県高知市東秦泉寺5-1,1,画像あり
"
980万円",高知県高知市朝倉横町,91.44平方メートル / 27.66坪,http://local.google.co.jp/maps?q=高知県高知市朝倉横町,,一方 ( 西 ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",即時,3220284-0000790,仲介,https://www.homes.co.jp/tochi/b-32202840000790/,株式会社葉山不動産,高知県高知市城山町201-1,1,画像あり
"
750万円",高知県高知市高須2丁目,82.34平方メートル (公簿) / 24.9坪,http://local.google.co.jp/maps?q=高知県高知市高須2丁目,,一方 ( 北西 ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0129446-0001129,仲介,https://www.homes.co.jp/tochi/b-1294460001129/,ハウスドゥ　高知葛島　株式会社猪野晃三朗塗装店,高知県高知市葛島１丁目10-75　高知ファミリープラザ,1,画像あり
"
850万円",高知県高知市竹島町,177.46平方メートル (公簿) / 53.68坪,http://local.google.co.jp/maps?q=高知県高知市竹島町,,一方 ( 北西 4m 私道 間口15.9m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0148433-0000010,仲介,https://www.homes.co.jp/tochi/b-1484330000010/,ハウスドゥ　高知南　株式会社中設計,高知県高知市六泉寺町1-1　ハイツ六泉寺1F北,1,画像あり
"
850万円",高知県高知市竹島町42,177.46平方メートル / 53.68坪,http://local.google.co.jp/maps?q=高知県高知市竹島町42,,一方 ( 北西 私道 間口11.5m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,3220281-0000525,仲介,https://www.homes.co.jp/tochi/b-32202810000525/,中央開発株式会社,高知県高知市鷹匠町２丁目2-28,1,画像あり
"
900万円",高知県吾川郡いの町枝川,165.29平方メートル / 50坪,http://local.google.co.jp/maps?q=高知県吾川郡いの町枝川,,一方 ( 北 4.5m 私道 間口8m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,3220284-0001049,仲介,https://www.homes.co.jp/tochi/b-32202840001049/,株式会社葉山不動産,高知県高知市城山町201-1,1,画像あり
"
825万円",高知県高知市桟橋通5丁目30番3,106.84平方メートル (公簿) / 32.31坪,http://local.google.co.jp/maps?q=高知県高知市桟橋通5丁目30番3,,一方 ( 西 16m 公道 ),市街化区域,宅地,準工業地域,-,所有権,不要,"古家あり 

",即時,0136972-0000062,一般媒介,https://www.homes.co.jp/tochi/b-1369720000062/,株式会社瀬戸グリーン不動産,高知県高知市瀬戸南町１丁目2番1号,1,画像あり
